timstamp,open,high,low,close
1613433600000,1779.33000000,1827.28000000,1724.00000000,1781.99000000
1613520000000,1781.99000000,1855.00000000,1733.01000000,1849.88000000
1613606400000,1849.70000000,1950.50000000,1849.69000000,1939.61000000
1613692800000,1938.91000000,1972.82000000,1891.00000000,1955.00000000
1613779200000,1955.46000000,2042.34000000,1803.14000000,1913.00000000
1613865600000,1912.90000000,1976.31000000,1883.01000000,1933.53000000
1613952000000,1933.54000000,1936.29000000,1551.00000000,1777.58000000
1614038400000,1777.42000000,1782.39000000,1355.00000000,1577.89000000
1614124800000,1577.79000000,1712.70000000,1500.20000000,1623.39000000
1614211200000,1623.16000000,1671.59000000,1459.16000000,1481.75000000
1614297600000,1482.08000000,1562.25000000,1400.00000000,1444.59000000
1614384000000,1444.56000000,1529.00000000,1425.00000000,1458.13000000
1614470400000,1458.27000000,1468.75000000,1293.18000000,1419.18000000
1614556800000,1418.67000000,1572.00000000,1409.91000000,1569.86000000
1614643200000,1570.00000000,1602.90000000,1455.52000000,1486.78000000
1614729600000,1486.79000000,1656.94000000,1475.47000000,1567.69000000
1614816000000,1567.68000000,1624.87000000,1506.36000000,1539.23000000
1614902400000,1539.22000000,1548.96000000,1441.66000000,1528.31000000
1614988800000,1528.08000000,1671.58000000,1513.03000000,1650.35000000
1615075200000,1650.68000000,1734.16000000,1630.35000000,1726.16000000
1615161600000,1726.46000000,1843.59000000,1664.96000000,1833.18000000
1615248000000,1833.22000000,1870.77000000,1798.20000000,1870.51000000
1615334400000,1870.50000000,1877.69000000,1757.00000000,1795.12000000
1615420800000,1795.28000000,1846.70000000,1725.00000000,1825.78000000
1615507200000,1825.78000000,1841.88000000,1719.72000000,1766.10000000
1615593600000,1766.13000000,1944.30000000,1727.75000000,1922.35000000
1615680000000,1922.35000000,1933.10000000,1836.00000000,1848.10000000
1615766400000,1848.10000000,1891.76000000,1730.00000000,1793.48000000
1615852800000,1793.99000000,1819.50000000,1711.68000000,1805.12000000
1615939200000,1805.01000000,1838.88000000,1741.18000000,1823.58000000
1616025600000,1823.58000000,1850.00000000,1759.04000000,1776.08000000
1616112000000,1775.92000000,1840.61000000,1733.47000000,1809.10000000
1616198400000,1809.01000000,1868.83000000,1800.86000000,1806.10000000
1616284800000,1806.57000000,1817.16000000,1747.00000000,1782.98000000
1616371200000,1783.23000000,1807.51000000,1655.15000000,1680.97000000
1616457600000,1681.17000000,1721.17000000,1650.00000000,1668.08000000
1616544000000,1668.20000000,1740.86000000,1536.92000000,1581.84000000
1616630400000,1581.88000000,1622.00000000,1549.40000000,1585.74000000
1616716800000,1585.83000000,1699.93000000,1585.79000000,1698.84000000
1616803200000,1698.84000000,1732.67000000,1666.41000000,1712.63000000
1616889600000,1712.52000000,1725.66000000,1661.40000000,1687.01000000
1616976000000,1687.16000000,1841.00000000,1677.85000000,1816.74000000
1617062400000,1816.76000000,1859.13000000,1786.30000000,1840.46000000
1617148800000,1840.41000000,1947.29000000,1768.15000000,1919.37000000
1617235200000,1919.37000000,1984.77000000,1885.02000000,1968.05000000
1617321600000,1968.05000000,2146.00000000,1948.48000000,2133.69000000
1617408000000,2133.69000000,2138.12000000,1996.30000000,2008.52000000
1617494400000,2008.59000000,2091.83000000,1975.24000000,2075.69000000
1617580800000,2075.70000000,2130.64000000,2002.15000000,2107.38000000
1617667200000,2107.43000000,2151.00000000,2044.65000000,2112.21000000
1617753600000,2112.22000000,2129.01000000,1930.01000000,1963.47000000
1617840000000,1963.46000000,2084.61000000,1947.35000000,2080.46000000
1617926400000,2080.39000000,2100.00000000,2047.57000000,2066.87000000
1618012800000,2067.19000000,2200.00000000,2058.00000000,2133.49000000
1618099200000,2133.49000000,2165.02000000,2113.40000000,2151.36000000
1618185600000,2151.42000000,2203.46000000,2102.00000000,2137.69000000
1618272000000,2137.86000000,2318.00000000,2135.53000000,2299.19000000
1618358400000,2299.19000000,2447.29000000,2281.33000000,2432.60000000
1618444800000,2432.59000000,2543.47000000,2400.00000000,2514.04000000
1618531200000,2514.04000000,2548.29000000,2300.00000000,2422.67000000
1618617600000,2422.38000000,2495.00000000,2310.00000000,2317.60000000
1618704000000,2317.65000000,2340.00000000,1946.80000000,2235.64000000
1618790400000,2235.65000000,2300.00000000,2080.00000000,2161.12000000
1618876800000,2161.12000000,2346.62000000,2055.00000000,2330.03000000
1618963200000,2330.26000000,2469.54000000,2235.16000000,2357.06000000
1619049600000,2357.06000000,2644.47000000,2303.44000000,2397.94000000
1619136000000,2397.94000000,2442.89000000,2107.00000000,2367.39000000
1619222400000,2367.39000000,2368.74000000,2154.80000000,2213.35000000
1619308800000,2214.08000000,2356.64000000,2168.00000000,2320.49000000
1619395200000,2320.44000000,2542.80000000,2303.64000000,2532.60000000
1619481600000,2532.06000000,2680.00000000,2480.29000000,2666.13000000
1619568000000,2666.13000000,2760.00000000,2559.44000000,2748.24000000
1619654400000,2748.23000000,2798.00000000,2668.00000000,2757.04000000
1619740800000,2757.04000000,2798.30000000,2723.09000000,2772.42000000
1619827200000,2772.42000000,2954.28000000,2743.41000000,2944.77000000
1619913600000,2944.83000000,2985.00000000,2852.26000000,2949.56000000
1620000000000,2949.33000000,3454.00000000,2949.32000000,3431.04000000
1620086400000,3431.04000000,3527.00000000,3160.00000000,3239.01000000
1620172800000,3239.01000000,3549.34000000,3200.23000000,3524.26000000
